No,領域,タイプ名,猫ネーム,キャッチ,家猫化ポイント,X,Y,チュール,キャットタワー,改善策,副作用,出典,URL,おすすめ曲,YouTubeリンク
36,関係・家族,完全専業依存(配偶者扶養),家庭を守る猫,配偶者に経済を全面依存,飼い主=配偶者。経済的自立の選択肢を手放す,8,7,「いつでも独り立ちできる」選択肢の安心,役割分担が対等で、いつでも再就労できる環境,配偶者への全面的な経済依存はリスクにもなる。家事・育児・介護の価値を正当に評価しつつ、いざという時に独立して生きられる選択肢(就労可能なスキル・資格・社会接点)を保持する。家計や資産の状況を把握し、夫婦の役割分担を対等な合意の上に置き、経済的自律の余地を残す。,自立要求が関係不和を招く恐れ(対策:強制でなく選択肢確保として位置づける),内閣府『無償労働(家事等)の貨幣評価』推計,https://en.wikipedia.org/wiki/Unpaid_work,The House That Built Me - Miranda Lambert,https://www.youtube.com/watch?v=RDC7bMIblTk
37,思想・未来,監視に喜んで従う,便利さ歓迎猫,利便と引換えにデータを差し出す,飼い主=プラットフォーム資本。自己情報の主権を手放す,10,8,「自分のデータは自分のもの」という主権感覚,利便とプライバシーが両立し、選択できる環境,利便と引き換えにデータを無自覚に差し出すのでなく、提供範囲を意識的に選択・制限する。プライバシー設定やデータ削除権を活用し、監視資本主義の仕組み(行動データの収益化)を理解する。便利さを享受しつつも自己情報の主権を手放さない使い方を選び、必要に応じサービスを使い分ける。,過度な遮断は利便・機能低下(対策:重要データのみ保護し用途で線引き),Shoshana Zuboff『The Age of Surveillance Capitalism』(2019),https://en.wikipedia.org/wiki/The_Age_of_Surveillance_Capitalism,Every Breath You Take - The Police,https://www.youtube.com/watch?v=OMOGaugKpzs
38,思想・未来,ナッジ誘導の最適化人間,するっと選ぶ猫,設計された選択肢に沿って動く,飼い主=選択設計者。選ぶ過程の自律を手放す,8,7,設計の意図を見抜く「ひと呼吸」の習慣,選択の自由が確保され、初期設定を変えられる環境,設計された選択肢に流されるのでなく、その背後の意図を読み、必要なら逆らって選ぶ。初期設定(デフォルト)が誰の利益かを問い、重要な選択では立ち止まって自分で判断する習慣を持つ。ナッジは良い行動を促す面もあるため全否定せず、操作されうると自覚した上で主体的に選ぶ。,全てを疑うと選択コスト増(対策:重要度に応じ吟味の深さを変える),Thaler & Sunstein『Nudge』(2008),https://en.wikipedia.org/wiki/Nudge_(book),Go With the Flow - Queens of the Stone Age,https://www.youtube.com/watch?v=yzwbSInCdlA
39,思想・未来,幸福な家畜(快楽的従属),ぬるま湯ごきげん猫,娯楽と快適で満たされ批判力を失う,飼い主=娯楽産業/体制。批判的思考を手放す,7,9,快適の中でも問い続ける批判的な視点,娯楽を楽しみつつ、考える余白がある環境,娯楽と快適に満たされ批判力を失う「快楽的従属」に対し、楽しみつつも問い続ける批判的距離を保つ。情報を受け身で消費するだけでなく、出所や意図を吟味し、不快な現実からも目を背けない習慣を持つ。快適さを享受する自由と、それに飲み込まれない自律を両立させ、考える余白を確保する。,過度な懐疑は楽しみを損なう(対策:娯楽と思考の時間を区切り共存させる),A.Huxley『すばらしい新世界』(1932)/N.Postman『Amusing Ourselves to Death』(1985),https://en.wikipedia.org/wiki/Brave_New_World,"Don't Worry, Be Happy - Bobby McFerrin",https://www.youtube.com/watch?v=d-diB65scQU
40,思想・未来,自己家畜化を肯定する人,飼われ心地よし猫,飼い慣らされた快適を是とする,飼い主=文明/制度。野生的自律を手放す,6,9,「飼い慣らし」を自覚し選び直す余地,快適を享受しつつ、いつでも野生に戻れる環境,飼い慣らされた快適を是とする立場も一つの選択だが、無自覚な全面依存は脆弱性を生む。自己家畜化の進行を自覚した上で、最低限の自律(自分で考え・動き・選ぶ力)は残すよう促す。快適と引き換えに何を手放しているかを定期的に点検し、必要なときに野生=自律を取り戻せる余地を確保する。,自律強制は本人の選択の自由と矛盾(対策:選択肢の提示に留め強制しない),R.Wrangham『The Goodness Paradox』(2019)/小原秀雄 自己家畜化論,https://en.wikipedia.org/wiki/Self-domestication,Domesticated Animal - David Crosby,https://www.youtube.com/watch?v=D8rlTzKlnMs
41,思想・未来,ポスト労働・脱労働志向,働き方見直し猫,自動化前提で働かない権利を望む,飼い主=自動化システム。生産の担い手性を手放す,4,7,労働外の「社会的役割」という新たな張り合い,自動化の恩恵を享受しつつ、自治に関われる環境,自動化を前提に労働を手放す志向では、生産を機械・他者に丸投げしないバランスが要る。労働外でも社会的役割(ケア・創作・自治・教育)を主体的に担い、技術の便益を享受しつつ意思決定や運営に関わる。「働かない自由」を受動的消費でなく、自律的な活動と参加の機会として活かす。,全面委託は技能・主体性の喪失(対策:担い手としての役割を意識的に持つ),Srnicek & Williams『Inventing the Future』(2015),https://en.wikipedia.org/wiki/Post-work_society,Black or white - Michael Jackson,https://www.youtube.com/watch?v=F2AitTPI5U0&list=RDF2AitTPI5U0&start_radio=1
42,思想・未来,身体放棄(トランスヒューマニズム),からだアップデート猫,身体を技術で補完・代替したい,飼い主=技術。身体という基盤を手放す,9,8,技術を道具に留める「身体の主権」感覚,技術で補完しつつ、生身の自律も保てる環境,身体を技術で補完・代替する志向において、技術を道具に留め生身の主体性を保つ。能力拡張の便益を享受しつつ、全面依存による脆弱性(故障・依存・格差)を見据える。技術と身体の関係を主体的に選択し、「身体を手放す」のでなく「身体を拡張する」立場で自律の基盤を維持する。,技術依存は故障・格差リスク(対策:技術の限界を踏まえ代替手段を確保),Nick Bostrom『Transhumanist FAQ』(2003),https://en.wikipedia.org/wiki/Transhumanism,Viva la vida - Coldplay,https://www.youtube.com/watch?v=dvgZkm1xWPE&list=RDdvgZkm1xWPE&start_radio=1
43,思想・未来,ケアロボ前提の老後設計,ロボ見守り猫,介護を機械に任せる前提で生きる,飼い主=ケア技術。人とのケア関係を手放す,7,7,機械と人のケアを組み合わせる安心,テクノロジーと人の関係が両立する環境,介護を機械に任せる前提でも、人とのケア関係を完全に手放さない設計を持つ。ケアロボットや見守り技術で負担と人手不足を補いつつ、対話や交流など人間的なケアの回路を残す。技術を「人を置き換えるもの」でなく「人のケアを支えるもの」と位置づけ、孤立や尊厳の喪失を防ぐ。,機械任せが孤立・尊厳低下を招く(対策:人的ケアと併用し関係を維持),経済産業省 介護ロボット導入施策/関連白書,https://www.meti.go.jp/policy/mono_info_service/healthcare/,Mr. Roboto - Styx,https://www.youtube.com/watch?v=uc6f_2nPSX8
44,文化・心理,終活・縮小均衡(守りの撤退),暮らし整え猫,拡大せず守りに入り縮小,飼い主=安全志向。新たな挑戦を手放す,5,6,小さな新規挑戦がもたらす生きがい,安全を保ちつつ、緩やかに挑戦できる環境,守りに入り縮小する一方で、能動性を保つ小さな挑戦を続ける。終活や生活の整理は前向きな準備と捉えつつ、新しい学び・交流・趣味など「広げる活動」も併せ持つ。撤退一辺倒でなく、自分のペースで挑戦と整理のバランスを取り、生きがいと自律を最後まで保ち続ける。,過度な挑戦は負担・リスク(対策:無理のない範囲で小さく試す),内閣府『高齢社会白書』(各年),https://www8.cao.go.jp/kourei/whitepaper/index-w.html,Life Is a Cabaret - Liza Minnelli,https://www.youtube.com/watch?v=Qor2JqoNL1M
45,デジタル,スマホ・アテンション中毒(ドゥームスクロール),通知にそわそわ猫,通知と刺激に絶えず反応し延々スクロール,飼い主=注意商人。注意の主権を手放す,10,7,まとまった集中時間がもたらす充実感,通知に邪魔されず、注意を自分で配れる環境,通知・刺激に絶えず反応し注意を企業に収奪される状態から、注意の主権を取り戻す。通知オフ・利用時間制限・画面の白黒化などで依存構造に介入し、際限ないスクロールを断つ。集中できる時間と場所を確保し、注意を「奪われる」から「自分で配る」へ。デジタルとの距離を意図的に設計する。,急な遮断はFOMO・反動利用(対策:段階的に減らし代替の楽しみを用意),Tim Wu『The Attention Merchants』(2016)/Adam Alter『Irresistible』(2017),https://en.wikipedia.org/wiki/The_Attention_Merchants,Rossana- Toto,https://www.youtube.com/watch?v=qmOLtTGvsbM&list=RDqmOLtTGvsbM&start_radio=1
46,デジタル/関係,マッチング依存(出会いの外注),アプリで出会う猫,出会いをアプリの推薦に委ねる,飼い主=マッチングPF。出会いを築く力を手放す,9,6,アプリ外の偶然の出会いがもたらす豊かさ,オンラインと対面の出会いが両立する環境,出会いをアプリの推薦に全面外注せず、対面・趣味・地域などアプリ外の出会いの回路も主体的に持つ。マッチングの便益を活かしつつ、アルゴリズムが提示する「条件」に縛られすぎず、自分で関係を育てる力を保つ。効率化された出会いと偶然の出会いを使い分け、関係形成の主導権を手放さない。,アプリ脱却が出会い機会減(対策:オンラインも併用し接点を複線化),"Finkel et al. オンラインデートの実証研究(2012, PSPI)",https://doi.org/10.1177/1529100612436522,Take my breathe away - Berlin,https://www.youtube.com/watch?v=Bx51eegLTY8&list=RDBx51eegLTY8&start_radio=1
